SampleID,genotype,DOI,Strandness,Layout,PO_anatomy,PO_dev_stage,PECO,ConditionDescription,Replicate
ERR5959253,Q157,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_Q157_Internode 5,3
ERR5959255,Q157,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_Q157_Internode 8,3
ERR5959749,KQB09-20432,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_KQB09-20432_Internode 8,3
ERR5960092,SRA5,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_SRA5_Internode 5,3
ERR5970143,Q151,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007108,NA,37 weeks_Q151_Internode Ex-5,3
ERR5970264,SRA3,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007108,NA,37 weeks_SRA3_Internode Ex-5,3
ERR5974750,SRA3,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_SRA3_Internode 8,3
ERR5975231,Q238,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007108,NA,37 weeks_Q238_Internode Ex-5,3
ERR5976733,Q157,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_Q157_Internode 8,3
ERR5976777,Q151,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_Q151_Internode 5,3
ERR5976778,SRA5,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_SRA5_Internode 8,3
ERR5976781,Q151,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007108,NA,37 weeks_Q151_Internode Ex-5,3
ERR5976782,SRA3,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_SRA3_Internode 5,3
ERR5978018,Q135,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_Q135_Internode 5,3
ERR5978222,Q157,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_Q157_Internode 5,3
ERR5978239,Q157,10.1007/s00122-022-04058-3,unstranded,paired-end,PO:0020142,PO:0007108,NA,37 weeks_Q157_Internode 8,3
ERR5979921,Q151,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007108,NA,37 weeks_Q151_Internode Ex-5,3
ERR5981343,Q238,10.1007/s00122-022-04058-3,unstranded,paired-end,PO:0020142,PO:0007108,NA,37 weeks_Q238_Internode 8,3
ERR5986540,Q135,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007108,NA,37 weeks_Q135_Internode Ex-5,3
ERR5986541,SRA5,10.1007/s00122-022-04058-3,unstranded,paired-end,PO:0025204,PO:0007108,NA,37 weeks_SRA5_Internode Ex-5,3
ERR5986956,Q135,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007108,NA,37 weeks_Q135_Internode Ex-5,3
ERR5987180,KQB09-20432,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_KQB09-20432_Internode 8,3
ERR5987787,KQB09-20432,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_KQB09-20432_Internode Ex-5,3
ERR5988136,KQB09-20432,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_KQB09-20432_Internode 5,3
SRR5258960,KQB09-20432,10.1371/journal.pone.0183417,strand specific,paired-end,PO:0020142,,NA,_KQB09-20432_Top Internode,2
SRR5258961,KQB09-20432,10.1371/journal.pone.0183417,strand specific,paired-end,PO:0020142,,NA,_KQB09-20432_Top Internode,2
SRR5259000,KQB09-20432,10.1371/journal.pone.0183417,strand specific,paired-end,PO:0025204,,NA,_KQB09-20432_Bottom Internode,2
SRR5259001,KQB09-20432,10.1371/journal.pone.0183417,strand specific,paired-end,PO:0025204,,NA,_KQB09-20432_Bottom Internode,2
